abandon,"v./n.放纵
v.放弃","1.freedom from constraint
2.withdraw"
affix,vt.粘合,attach physically
affliction,n.痛苦，悲伤，折磨,great suffering
agape,adj.急切盼望的,eagerly awaiting
agility,n.（身手）敏捷,"quickness, ease and grace"
agonize,v.（使）非常痛苦,deep sadness
agreeable,"adj.令人愉悦的；
adj.相一致的","1. pleasing to the mind or senses
2. in harmony"
alienate,v.使…疏远,make unfriendly
alloy,"n.合金；混合物；
vt.掺杂，降低…的纯度","1. combining of two or more different things
2. debase by the addition"
ambivalent,adj.（尤指感情、态度）矛盾的,opposing feelings
anachronism,"n.不合时代的人或事物；过时现象
n.时代错误，年代误植（指所叙人、事与时代不符的错误）","1. a thing or person that belongs to an earlier time
2. an error in chronology"
analogous,adj.相似的，可比较的,common
annex,"vt.添加，合并；
",join
annotate,vt.给…作注解,commentary or explanatory notes
antedate,vt.比…早，早于,earlier date
antipathy,"n.厌恶，反感；
",aversion; dislike
antiquated,adj.古老的，过时的,out of style
antithetical,adj.完全对立的，相反的,direct and unequivocal opposition
apparition,n.鬼魂，幽灵,ghostly figure
applicable,"adj.可用的，可行的；
adj.相关的，有关的；
","1. put to use
2. having to do with"
apprehensive,"adj.知晓的，理解的；
adj.恐惧的，害怕的","1. impressed on the mind
2. anxious; fearful"
arable,adj.适合耕种的,growing of crops
arbitrary,"adj.专横的，独断专行的；
adj.缺乏计划的，随意的","1. force one's will on others
2. lacking a definite plan"
arcane,adj.深奥的，难以理解的,difficult to understand
argument,"n.争吵，争论；
n.（逻辑上的）论证；
","1. expression of differing opinions
2. from a premise to a conclusion"
arid,"adj.干燥的；
adj.无趣的，无聊的","1. little or no precipitation
2. lack of interest"
array,"n.排列，阵列；
vt.排列，摆放；
","1. arrangement
2. arrange or display"
assail,"vt.抨击，严厉批评；
",criticize harshly
atrophy,vi.萎缩，衰退,waste away
attest,vt.证实，为…作证,give evidence
attune,vt.使协调，使和谐,into harmony
august,"adj.威严的，庄重的；
",formal and serious or reserved manner
auspicious,adj.好兆头的,toward a happy outcome
austere,"adj.朴素的，朴实无华的；
",simple
automatic,adj.自发的，情不自禁的,spontaneously or unconsciously
avowal,n.承认，公开宣布,declaration
backfire,vi.产生相反的结果，事与愿违,reverse
backslide,vi.（情况等）倒退，变坏,revert to a worse condition
baffle,vt.使疑惑,mental uncertainty
bohemian,n.特立独行之人,protest against or indifference to convention
bash,vt.抨击，严厉批评,criticize harshly
beholden,adj.欠他人人情的,owing gratitude
behoove,vt.对…有利,"necessary, proper, advantageous"
beige,adj.缺乏特征的,lacking distinction
bureaucratic,adj.官僚主义的,complicated rules; long delays
belligerent,adj.好斗的，好战的,"assertiveness, hostility, combativeness"
beset,"vt.使苦恼，骚扰；
vt.攻击，袭击","1. cause persistent suffering
2. set upon"
bewitching,adj.迷人的，令人着迷的,attract
blackmail,n./vt.敲诈，勒索,extortion of money
bluff,"adj.直率的，（说话）直截了当的；
vt.欺骗","1. direct, brief, potentially rude
2. deceive"
bogus,"adj.伪造的，假冒的；
",being such in appearance only
bore,"n.令人厌烦的人或事物；
vt.使厌倦，使厌烦","1. causes boredom
2. make weary"
brandish,vt.（带有威胁性地）挥舞,shake menacingly
brim,"n.边缘，边界；
vi.充满；
","1. outer margin
2. full often to overflowing"
bumble,"vi.含糊不清地说，杂乱无章地说；
","rapidly, inarticulately"
bustle,"n.忙乱，喧闹；
vi.（快速地）行走，奔忙","1. noisy, energetic
2. move briskly"
calamity,n.大灾难,disastrous event
calculated,adj.经过计算（成败得失）的，经过深思熟虑的,reckoning or estimating
canny,adj.精明的，聪明的,careful and shrewd
canonize,vt.使崇高，使神圣,high status or value
captious,adj.吹毛求疵的，爱挑毛病的,stress faults and raise objections
careen,"vi.蹒跚而行，不稳地行走；
",lurch or swerve
carefree,adj.无忧无虑的,no worries or troubles
cascade,n.一连串，大量,rushing forth in quantity
cellular,adj.多孔的,porous
ceremonious,adj.讲究礼节的，庄重的,careful attention to set forms
certitude,n.确信无疑,certain
channel,vt.将…导向，投入,move to a central point
chaperone,vt.同行，护送,go along with
charisma,n.魅力，吸引力,charm
cherished,adj.受喜爱的，珍爱的,granted special treatment
chivalrous,adj.有骑士风度的，（尤指对女性）彬彬有礼的,gracious courtesy and high-minded consideration
chorale,"n.赞美诗；
n.合唱班，合唱团","1. hymn or psalm in church
2. group of singers"
clamor,n.喧闹，喧哗，噪声,"loud, inharmonious"
clan,n.（有共同爱好的）团体，帮派,united by a common interest
cleave,"vi.紧贴，坚持；
vt.分隔，割裂，劈开","1. adhere
2. divide"
cling,vi.紧贴；支持,adhere
coarse,"adj.粗糙的，表面不平整的；
adj.粗俗的；
","1. not smooth
2. lacking refinement"
cohesive,adj.有粘性的；有凝聚力的,cohesion or coherence
commiserate,vi.表示怜悯，同情,sympathy
compatible,adj.一致的，能共存的,in harmony
compelling,"adj.极具说服力的；
",persuade
complacent,"adj.自满的，自鸣得意的；
",excessive or unjustified satisfaction
complementary,adj.互补的,supplying each other's
complicate,vt.使复杂化,complex or difficult
comprehend,"vt.理解，了解；
vt.包括，包含","1. grasp
2. contain or hold within"
concrete,adj.事实性的，明确的,in fact
condemn,vt.谴责（…为不道德的、邪恶的）,"declare to be reprehensible, wrong, or evil"
conditional,adj.有条件的，受制约的,dependent
conflagration,n.武装冲突，战争,armed violent struggle
conflate,vt.混合,turn into a single mass
conform,"vt.使协调；
vi.遵照，遵从","1. bring into harmony
2. obedient; compliant"
conjure,"vt.请求，恳求；
vt.在脑海中浮现，想起","1. entreat earnestly
2. form a mental picture"
consent,"n.同意，赞同
vi.同意；
","1. approval
2. approval"
consign,vt.转交，转移（给他人）,control of another
consternation,n.惊愕，恐慌，恐惧,paralyzing dismay
contemplate,v.沉思，仔细思索,consider
contempt,n.蔑视，鄙视,unworthy of one's concern or respect
contend,"vi.竞争，争夺；
vt.声明，声称","1. strive or vie in contest
2. state as a fact"
contradict,vt.否认，反驳；与…相矛盾,contrary
contrived,adj.不自然的，刻意的,lacking spontaneous quality
convene,vt.召开，召集,bring together in assembly
correlate,vt.使…相关联,mutual or reciprocal relation
counterpart,n.（地位、功能）对等的人或物,same function or characteristics
counterproductive,adj.反效果的，阻碍预期目标的,not producing desired goal
courteous,adj.礼貌的，谦恭有礼的,polished manners
coy,adj.不愿与人交往的，内向的,tending to avoid people
credit,"n.信任，信赖；
n.表扬，赞扬","1. mental conviction of the truth
2. acknowledgement or admiration"
crow,"vi.感到高兴；
",joy or triumph
damn,"vt.（在道德上）谴责；
",morally wrong or evil
dampen,vt.抑制，压抑（感情、精力等），泼冷水,"diminish the feeling, activity or vigor"
dashing,adj.爱好冒险的，大胆的,take risks
dated,adj.过时的,passed its time of use
deadlock,"n.僵局；
vt.使陷入僵局，使停顿","1. a state of inaction or neutralization
2. to a deadlock"
debonair,"adj.无忧无虑的，不在乎的；
adj.风度翩翩的","1. freedom from worries or troubles
2. polished and worldly manners"
decadent,"adj.堕落的，腐败的；
n.道德上堕落的人；
","1. lowered moral character
2. moral decay"
decry,vt.强烈反对，否定,strong disapproval
deflect,vt.使偏斜，使转向,turn aside from a straight course
defray,vt.支付,undertake the payment
deign,vi.（不情愿地）屈尊，俯就,condescend reluctantly
delegate,"n.代理人，代表；
vt.移交（权力、任务等）","1. representative for another
2. possession or safekeeping of another"
delineate,vt.描写，描绘,"describe, portray"
demote,vt.降职，降级,a lower grade
dependable,adj.可靠的，值得信赖的,depended on
deplorable,"adj.可鄙的，可耻的；
",condemnation or reproach
dichotomy,n.对立,division into two
dictate,"vt.（仗着地位、权力）下令；
",request
discreet,"adj.（言行）谨慎的；
",good judgment and restraint
disenchant,vt.使清醒,free from illusion
dishearten,vt.使沮丧，使失去信心,lose spirit or morale
disjunctive,adj. 分离的,breaks disunity
disprove,vt.反驳，证明为假,prove to be false
distinctive,"adj.完全不同的；
adj.特征性的，典型的","1. not of the same kind
2. serving to identify"
doctrinaire,adj.教条主义的，照本宣科的,strongly held opinions
domineer,vt.专制统治,overbearing control
drab,adj.单调的，无聊的,dullness and monotony
dramatic,adj.显著的，惹人注意的,striking
dread,n.恐惧,fear
duplicate,"n.复制品；
vt.复制；
","1. exactly alike
2. make a copy"
eclectic,adj.混合的，多元化的,from various sources
efficacious,adj.有效的,produce a desired effect
elude,"vt.躲闪，躲避；
vt.使无法理解，使困惑","1. avoid adroitly
2. escape the perception"
enamored,adj.迷恋的，热爱的,intense or excessive love
endeavor,"n.努力，奋斗；
vt.努力做，拼搏","1. conscientious or concerted effort
2. devote serious and sustained effort"
enthrall,vt.（像用魔咒般）吸引,hold the attention
equilibrium,"n.均势，平衡；
",opposing forces are equal
escort,vt.同行，护送,go along with
ethos,n.道德准则,code of good conduct
exorcise,vt.除去,get rid of 
explicate,vt.解释，说明,detailed explanation
exterminate,vt.根除，消灭,killing off
extrapolate,vt.（通过逻辑）推断,form an opinion through reasoning
fabulous,"adj.幻想中的，不真实的；
adj.极好的","1. in the imagination
2. extremely pleasing"
fad,n.（短暂的）流行，时尚,popular for a short time
fallible,adj.可能出错的,erroneous
fanciful,adj.不切实际的，荒谬的,without regard for reason
favoritism,n.偏爱，偏袒,special favor
featureless,adj.缺乏特征的,lacking distinguishing characteristics
feisty,adj.好斗的，好争论的,aggressiveness
felony,n.重罪,grave crimes
ferocious,"adj.激烈的，爆发性的；
adj.凶猛的，残暴的","1. bursts of destructive force
2. unfriendly or aggressive"
fervent,adj.充满感情的，热情洋溢的,great intensity of feeling
figment,n.虚构的事物，幻觉,made up
fitful,adj.断断续续的,erratic or intermittent
fleeting,adj.稍纵即逝的，短暂的,for a short time
forage,vi.寻找,search
forebode,v.预示，预兆,show signs
foreground,vt.强调，重视,indicate the importance
forfeit,n.罚金,punishment
forsake,vt.彻底放弃，抛弃,renounce
frosty,"adj.寒冷的；
adj.无强烈感情的，冷淡的","1. low temperature
2. lacking in friendliness or warmth"
gawky,adj.（举止）笨拙的,inability to move in a graceful manner
germinate,"vi.发芽；
vi.出现","1. begin to grow
2. come into being"
glacial,"adj.极冷的；
adj.冷漠的，无感情的","1. extremely cold
2. devoid of warmth"
glide,v.轻松地行动，轻松地通过,"smoothly, continuously, effortlessly"
glower,vi.怒目而视,stare with anger
graft,vt.移植，移接,implant surgically
grit,n.（面对困难时所表现出来的）毅力,endure pain or hardship
groggy,"adj.虚弱的，（走路）不稳的；
",weak and unsteady
grudge,n.怨恨，仇恨,ill will
grumble,vi.（尤指低声地）抱怨，埋怨,complain
halfhearted,adj.不感兴趣的，不热情的,lacking heart
heckle,vt.起哄，使难堪,harass
hierarchical,adj.分等级的，等级制的,classified
hobble,vt.阻碍，妨碍,hamper the action
humdrum,adj.无聊的，乏味的,lacking excitement
humiliate,vt.羞辱，使丧失尊严,to a lower position
hypothetical,"n.假设，前提条件
adj.假定的；","1. starting point
2. assumption; speculation"
idiosyncrasy,n.独特而奇怪的习惯,odd or peculiar habit
idle,"adj.闲置的，未使用的
adj.懒散的
v.懒散度日，无所事事","1. not turned to use
2. lazy
3. pass without working"
ill-bred,adj.没有教养的，没有礼貌的,impolite
illustrious,adj. 著名的，杰出的,very distinguished
imperishable,adj.不朽的，永恒的,enduring forever
implicit,"adj.不言而喻的，心照不宣的
",capable of being understood through unexpressed
impunity,n.免责，免受处罚,free from punishment
incentive,n.刺激，诱因,something that incites a tendency
incumbent,adj.义不容辞的，必须的,imposed as obligation
indecorous,adj.不合乎礼节的，不得体的,conflicting with accepted standards
infraction,n.违背，违犯,a failure to uphold the requirements
justify,vt.证明…的合理性，为…辩解,prove to be just
lag,"v.缓慢行走
v.萎靡，失去活力","1. proceed with slowness
2. lose bodily strength"
lance,vt.刺穿，刺破,penetrate with a pointed object
lax,"adj.松弛的，不紧的，不严格的
adj.懈怠的，漫不经心的","1. not rigid
2. failing to give proper care"
license,"n.许可，认可
n.自由
","1. the approval
2. the right to move freely"
lionize,v.追捧，把…捧为名人,treat a person as celebrity
ludicrous,adj.荒唐的，可笑的,meriting derisive laughter
luminous,adj.杰出的，重要的,standing above
lurid,"adj.恐怖的，令人反感的
",causing revulsion
machination,n.诡计,a crafty action
madcap,"n.热爱冒险的人
adj.大胆的，鲁莽的","1. one who seeks out dangerous adventures
2. foolishly bold"
magnitude,"n.重要，重大
",greatness in significance
malevolent,adj.恶意的，恶毒的,vicious
malignant,adj.恶毒的，邪恶的,having a desire to cause someone pain
maneuver,v.巧妙地操纵,guide with adroitness and design
marginal,adj.不重要的,not of central importance
meditate,vt.思索，沉思,focus one's thoughts on
menial,adj.卑贱的，低下的,showing submissiveness
meretricious,adj.艳俗的，俗气的,vulgar
milieu,n.环境，氛围,the physical or social setting
misapprehension,n.错误的理解、判断,a failure to understand
monarch,"n.君主，帝王
",one who rules over a people
monopolize,v.垄断，主宰,have complete control over
nirvana,n.天堂,a state of utter perfection and happiness
nostalgia,n.怀旧，怀念,a sentimental yearning for return
notoriety,n.坏名声,ill fame
nourish,v.培养，促进,help the growth
novice,n.新手，初学者,a person new to a field
nullification,n.（尤指法律条文等正式的）废除，废弃,the doing away with something by formal action
numb,adj.麻木的，无感情的,devoid of emotion
oaf,n.愚蠢的人,a stupid person
observant,"adj.警惕的，警觉的
adj.严格遵守（规章、制度或原则）的","1. paying close attentions
2. diligent in obseving a law"
obsolete,adj.过时的，被淘汰的,no longer useful
onset,n.起始，开始,the beginning point
ordeal,n.严峻的考验,a severe trial
ostensible,adj.表面上的，佯装的,appearing to be true
outgrowth,n.结果，后果,a condition traceable to a cause
outmoded,adj.过时的，废弃的,no longer usable
override,v.推翻,set aside
overshadow,v.（在重要性上）超越，超过,exceed in importance
overwhelm,v.淹没,cover with a flood
overwrought,"adj.十分激动的，非常不安的
adj.（装饰、文风等）过分华丽的","1. being in a state of agitation
2. excessively decorated"
palaver,"n.对话，交流
v.闲聊","1. an exchange of views
2. talk profusely"
palpitation,n.（有节奏的）舒张收缩,an expanding and contracting
panacea,n.万能药，万灵药,a remedy for all ills
peculiarity,n.特征，特点,a distinguishing characteristic
pedagogical,adj.教学的；教师的,relating to a teacher or education
peel,v.脱去（衣服等）,take off one's clothes
perceptive,adj.敏锐的,able to sense slight differences
perilous,adj.危险的,involving potential loss
perquisite,n.额外的好处,something given in addition to what is originally expected
petulant,adj.易怒的，爱发脾气的,easily irritated
pioneer,"n.扩荒者，先驱者
v.开创，创造","1. one of the first to settle in a country
2. open up an area"
pious,"adj.（信仰上）虔诚的
",showing devotion to divine worship
pitfall,n.陷阱,a pit to capture animals
pivotal,adj.最关键的，最为重要的,of the greastest possible importance
placid,"adj.冷静的，淡定的
",free from agitation
playful,adj.爱开玩笑的,joking or teasing
plebeian,adj.平民的，社会下层的,belonging to low social rank
plush,adj.奢华的，豪华的,notably luxurious
poach,vt.水煮,cook in a liquid
pointer,n.忠告，建议,a useful suggestion or hint
pragmatic,adj.实用主义的，务实的,a practical approach
premeditate,v.预先考虑,consider beforehand
prerequisite,n.前提，先决条件,something that is necessary to an end
prerogative,n.特权，权力,a special power or privilege
proclaim,v.宣告，使…公之于众,declare publicly
project,v.预测，预计,estimate based on present data or trends
proprietary,adj.私营的,privately owned
prototype,n.原型,an original model
rampant,"adj.（植物）生长茂盛的
adj.猖獗的，不受限制的","1. growing thickly
2. occuring without restraint"
ravenous,adj.食量大的，贪食的；贪婪的,having a huge appetite
redeem,v.改过自新,to make better
refreshing,adj.令人身心振奋的，提神的,having a renewing effect
remnant,n.残余，剩余物,something left over
renege,v.放弃，摒弃,formally reject
replenish,v.补充,fill again
replicate,"v.复制，复刻
",make an exact likeness of 
residual,adj.剩余的，残存的,of a residue
restitution,n.补偿，赔偿,a making good for some injury
resurrect,v.使重生，使复苏,bring back to life
retentive,adj.记性好的,having the ability to retain knowledge or information
retrieve,v.寻回，找回,get back again
reverberate,v.回荡，回响,continue to be repeated
rhetorical,adj.言辞华丽（却往往无内涵）的,full of fancy but meaningless words
rigmarole,n.混乱无意义的话,confused or meaningless talk
ruthless,adj.没有怜悯心的，残忍的,having no pity
screen,"n.掩护物，屏障
v.掩护，遮蔽","1. something that shelters
2. shut off from view"
scrimp,v.节俭,avoid wastes
sectarianism,n.宗派主义，顽固,adherence to prejudices
secular,adj. 世俗的，尘世的,worldly or temporal
simile,n.明喻,a figure of speech comparing to unlike things
skittish,"adj.容易受到惊吓的，胆小的
adj.善变的，多变的","1. easily frightened
2. likely to change"
sparing,adj.节俭的，节约的,marked by careful restraint
splutter,v.急切而不清楚地说,speak hastily and incoherently
squeamish,adj.恶心的，晕船的,affected with nausea
staunch,adj.忠诚的，坚定的,steadfast in loyalty
stereotype,n.成见，老套的理念,a conventional opinion
stigmatize,v.使蒙上污名,brand as disgraceful
substitute,"n.取代者，替代品
v.取代，替代","1. a things that takes the place of another
2. take the place of"
succumb,"v.屈服
v.死亡","1. yield to strength
2. be brought to death"
supersede,v.取代，替代,displace
surly,adj.脾气不好的,churlish in mood
surmise,"n.（根据不足的）推测，揣测
v.推测","1. a thought based on scanty evidence
2. form a noion from scanty evidence"
surmount,v.战胜，获得胜利,achieve a victory over
surpass,"v.超越，强于
",become better
surrogate,n.替代品,one that takes the place of another
surveillance,n.监视，监控,close observation
tame,"adj.被驯化的
v.控制，抑制","1. reduced from a state of wildness
2. keep from exceeding"
tangle,v.纠缠，使…纠结,seize as if in snare
teeming,adj.大量的,covered with great numbers
temporal,adj.世俗的，尘世的,of earthly life
tentative,adj.暂时性的，尝试的,not fully developed
thick-skinned,adj.冷漠无情的，不顾及他人感受的,largely unaffected by the feelings of other people
thrill,"n.强烈的兴奋感，快感
v.使兴奋，使激动","1. a pleasurably intense stimulation
2. cause excitement"
timely,adj.恰到好处的，合乎时宜的,appropriate
trifling,adj.细微的，不重要的,lacking in significance
tycoon,n.大亨，巨头,"a person of rank, power, or influence"
tyrant,n.暴君,a brutal ruler
umbrage,n.不悦，生气,being affended
unanimous,adj.一致同意的,having the consent of all
unavailing,adj.徒劳的，无果的,producing no results
unremitting,adj.连续不断的,going on without any interruptions
vouchsafe,v.允诺，给予,grant in a gracious manner
wayward,adj.刚愎自用的，不服管束的,following one's own inclinations
weather,v.经受住,come through safely
willful,adj.固执的，倔强的,obstinately and self-willed
willy-nilly,adj.无秩序的，随意的,without order
wilt,v.精神萎靡，憔悴,feel fatigue and exhaustion
wily,adj.狡诈的，狡猾的,deceptive and cunning
wiretap,n./ vt.偷听，窃听,tap a telephone in order to get information
wistful,adj.渴望的，怀念的,full of yearning or desire
wrest,v.辛苦地获得,gain with difficulty
wrongheaded,adj.固执己见的，坚持（错误观点的）,stubborn in adherence
,,
,,
,,
,,
,,
,,
